"Base License Number","Base Name","DBA","Year","Month","Month Name","Total Dispatched Trips","Total Dispatched Shared Trips","Unique Dispatched Vehicles"
"B02292","NEW YORK APPLE V.I.P. CORP",,"2019","9","September","3,919","0","34"
"B01768","NEW SUPERIOR RADIO GRP CORP",,"2021","3","March","1,722","0","14"
"B02103","A & S LIMOUSINE SERVICE CORP",,"2018","4","April","21,550","0","131"
"B03323","AGORA CAR SERVICE INC",,"2022","3","March","264","0","5"
"B00889","MEXICANA CAR SERVICE INC.",,"2017","5","May","15,421","0","59"
"B02853","SAFE RIDES CAR & LIMO SERVICES INC",,"2023","8","August","19","0","3"
"B00429","SURF CAR SYSTEMS INC",,"2024","11","November","2,872","0","30"
"B02719","49 WESTCHESTER SQUARE PRESTIGE CAR SERVICE, CORP.",,"2016","12","December","22,584","0","288"
"B01768","NEW SUPERIOR RADIO GRP CORP",,"2021","5","May","1,645","0","13"
"B02970","FLYTE LINE TRANSPORTATION LLC","ADDISON LEE","2019","8","August","3,870","0","104"
"B02505","TRELAWNY CAR SERVICE INC",,"2017","2","February","2,348","0","15"
"B02021","EASYRIDE CAR SERVICE INC.",,"2017","11","November","972","0","4"
"B02756","ALLY CAR SERVICE LLC","ACTIVE EXPRESS CAR & LIMO 2","2019","1","January","704","0","7"
"B01016","810 CAR SVCE CORP",,"2018","8","August","6,015","0","28"
"B02462","TIFFANY'S CAR SERVICE INC.",,"2016","3","March","2,053","0","14"
"B03323","AGORA CAR SERVICE INC",,"2022","2","February","301","0","3"
"B02397","CHICO EXPRESS CORP. 2",,"2016","3","March","2,343","0","9"
"B01626","LA NUEVA QUISQUEYA C/S INC",,"2018","7","July","25,094","0","100"
"B03603","T7T LIMO INC",,"2025","2","February","99","0","33"
"B03617","CAUTIOUS CARS TRANSPORTATION CORP.",,"2024","10","October","23","0","4"
"B01417","NESHER EXPRESS CAR SERVICE 2 INC.",,"2015","8","August","2,672","0","17"
"B02997","KALUMA TRANSPORTATION GROUP INC.",,"2019","3","March","78","0","25"
"B00821","ATLANTIC CAR SVCE",,"2022","8","August","9,910","0","58"
"B02152","KYOEI LIMOUSINE, INC.","KYOEI LIMOUSINE, INC.","2018","11","November","376","0","15"
"B01088","PAISA 2 CAR  AND LIMOUSINE SERVICE INC",,"2017","10","October","156","0","4"
"B02144","SILVER STAR LIMOUSINES, INC.",,"2018","6","June","321","0","11"
"B02027","PARIS LIMOUSINE SERVICE, CORP",,"2018","7","July","769","0","22"
"B01308","LIL'D DISPATCH INC.","STRICTLY CAR SERVICE","2015","8","August","2,246","0","24"
"B02760","VISMAR RADIO DISPATCH INC.",,"2023","2","February","662","0","5"
"B01854","EUROPE LIMOUSINE SERVICE INC",,"2018","1","January","1,564","0","31"
"B00170","EMUNAH CAR SERVICE INC",,"2017","9","September","1,131","0","6"
"B01048","HILLSIDE 24 HOURS RADIO DISPATCH INC",,"2018","11","November","1,242","0","6"
"B02406","MY SEDAN LLC",,"2016","10","October","1,560","0","25"
"B01417","NESHER EXPRESS CAR SERVICE 2 INC.",,"2026","2","February","1,378","0","9"
"B02641","AVENUE X CAR SERVICE INC.","PRESTIGE CAR SERVICE","2018","3","March","1,976","0","13"
"B02342","QUEST INTERNATIONAL LIMOUSINE, INC.",,"2018","2","February","992","0","43"
"B00350","CHAMPION CAR & LIMO SVC. INC.",,"2019","7","July","6,713","0","41"
"B02468","GROUNDLINK HOLDINGS LLC","GROUNDLINK YOUR'E GOOD TO GO","2018","9","September","454","0","9"
"B03330","OSO AUTO CORP",,"2023","11","November","569","0","7"
"B03209","PARAMOUNT TRANSPORT INC.",,"2022","11","November","1,112","0","10"
"B01469","BROTHERS CAR SERVICE, INC.",,"2017","5","May","11,129","0","85"
"B00975","T.J.Q. CAR SERVICE, INC.","QUALITY CAR SVCE","2019","7","July","727","0","8"
"B01559","MUNKACS CAR SVC LTD",,"2019","9","September","3,670","0","15"
"B01346","ARECIBO C/S INC",,"2018","12","December","5,469","0","31"
"B02107","APOLLO RADIO DISPATCH INC.",,"2025","2","February","11,475","0","95"
"B01913","MIRAGE LIMOUSINE SERVICE INC",,"2021","6","June","309","0","10"
"UBER","UBER","UBER","2019","3","March","17,247,995","2,973,699","78,973"
"B01913","MIRAGE LIMOUSINE SERVICE INC",,"2018","2","February","776","0","22"
"B01737","WASHINGTON RAD DISP INC",,"2016","6","June","3,533","0","48"
"B03524","JURNY TECHNOLOGIES LLC",,"2026","1","January","163","0","149"
"B01016","810 CAR SVCE CORP",,"2025","1","January","7,274","0","39"
"B02397","CHICO EXPRESS CORP. 2",,"2023","1","January","260","0","1"
"B00112","AYY&M TRANSPORTATION, LLC","HARBORVIEW CAR SERVICE","2018","4","April","4,911","0","18"
"B01009","UNITED LIMO C/M SVC CORP",,"2025","11","November","457","0","6"
"B02095","COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,",,"2015","9","September","3,902","0","154"
"B01984","NY 88 EXPRESS CORP.",,"2017","12","December","31,480","0","147"
